"Store ID","Entity ID","Store Name","MarketMan Store Name","Revel Establishment Name","Open Date","Franchise Agreement Complete","Marketman Location","Revel Est ID","Revel Complete","Clover to Revel Cutover Date","Owner In MarketMan","Marketman Complete","Entity","Owner","Address Line 1","Address Line 2","City","State","Postcode","Country","Phone","Sq Footage","Store Hours","Sales Tax ID","Sales Tax Rate","Real Estate Type","Market Area Zip Codes","Notes on Zip Codes","Clover MID","Clover Buyout","Clover Buyout Paid","Ubiquiti Network","","","","","","","","","","","","","","","","","",""
"1","46-3932133","Buff City Soap - Bartlett","0001 - Bartlett","","","","1","9","1","","1","1","Buff City Soap, LLC","","3000 Kirby Whitten Rd","#102","Bartlett","TN","38134","USA","(901) 207-0970","1,600","","","9.75%","End Cap","","","276754290886","$969.30 ","","","","","","","","","","","","","","","","","","","",""
"2","46-3932133","Buff City Soap - Olive Branch","0002 - Olive Branch","","","","1","8","1","","1","1","Buff City Soap, LLC","","5338 Goodman Rd","#113","Olive Branch","MS","38654","USA","(844) 762-7772","1,333","","","7.00%","In-Line","","","276754291884","$2,381.01 ","","","","","","","","","","","","","","","","","","","",""
"3","46-3932133","Buff City Soap - Main St","0003 - Main St","","","","","","","","","","Buff City Soap, LLC","","101 S MAIN ST","","","TN","38103","USA","(901) 601-6744","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","46-3932133","Buff City Soap - Midtown","0004 - Midtown","","","","1","7","1","","1","1","Buff City Soap, LLC","","944 Cooper St","","Memphis","TN","38104","USA","(901) 207-6749","2,100","","","9.75%","End Cap","","","825360067888","$1,033.46 ","","","","","","","","","","","","","","","","","","","",""
"5","82-0899921","Buff City Soap - Castle Rock","0005 - Castle Rock","","","","1","12","1","","1","1","Buff City Soap Colorado LLC","","5050 Factory Shops Blvd","Suite 175","Castle Rock","CO","80108","USA","(720) 508-4923","2,055","","321396530001","7.90%","In-Line","","","825347397887","","","","","","","","","","","","","","","","","","","","",""
"6","1","Buff City Soap - Hoover","0006 - Hoover","","5/6/2017","","1","","","","1","1","Ingenuity LLC","Rick Hayes","4745 Chace Circle","#109","Hoover","AL","35244","USA","(205) 777-5465","1,551","","","","In-Line","35242","Store Zip","","","","","","","","","","","","","","","","","","","","","",""
"7","9","Buff City Soap - Ocean Springs","0007 - Ocean Springs","","11/4/2017","","1","40","","","","1","BCS Gulf Coast, LLC","Sally Whipple","705 A Washington Avenue","","Ocean Springs","MS","39564","USA","(228) 334-5969","909","","","","End Cap","39564; 39566","Andy gave me these, should be correct","","","","","","","","","","","","","","","","","","","","","",""
"8","2","Buff City Soap - Jackson","0008 - Jackson","","11/18/2017","","1","17","","","1","1","Ozarks Soap, LLC","Charli Gorman","1319 E Union University Drive","","Jackson","TN","38305","USA","(731) 513-1523","2,150","","","","In-Line","38305","Store Zip","","","","","","","","","","","","","","","","","","","","","",""
"9","2","Buff City Soap - Covington","0009 - Covington","","9/9/2017","","1","14","","","1","","Ozarks Soap, LLC","Charli Gorman","102 E Court Street","","Covington","TN","38019","USA","(901) 603-6636","2,200","","","","End Cap","38004, 38015, 38023, 38030, 38037, 38040, 38041, 38058, 38063, 38079, 38080, 38232, 38240, 38253, 38257, 38259, 38260, 38401, 3 38011, 38019, 38024, 38047, 38059, 38237, 38261, 38053, 38054;","Store 0009 & 0011 have the same zips","","","","","","","","","","","","","","","","","","","","","",""
"10","1","Buff City Soap - Birmingham","0010 - Birmingham","","6/30/2018","","","","","","","","Ingenuity LLC","Rick Hayes","5361 Hwy 280","Suite 105","Birmingham","AL","35242","USA","(205) 730-9199","1,400","","","","In-Line","35242","Store Zip","","","","","","","","","","","","","","","","","","","","","",""
"11","2","Buff City Soap - Dyersburg","0011 - Dyersburg","","9/8/2018","","1","15","","","1","1","Ozarks Soap, LLC","Charli Gorman","216 South Mill Avenue","","Dyersburg","TN","38024","USA","(731) 734-9104","1,600","","","","In-Line","38004, 38015, 38023, 38030, 38037, 38040, 38041, 38058, 38063, 38079, 38080, 38232, 38240, 38253, 38257, 38259, 38260, 38401, 3 38011, 38019, 38024, 38047, 38059, 38237, 38261, 38053, 38054;","Store 0009 & 0011 have the same zips","","","","","","","","","","","","","","","","","","","","","",""
"12","2","Buff City Soap - Murfreesboro New Salem","0012 - Murfreesboro New Salem","","1/19/2019","","1","18","1","","1","1","Ozarks Soap, LLC","Charli Gorman","2658 New Salem Rd","","Murfreesboro","TN","37128","USA","(615) 624-7891","1,400","","","","In-Line","37064, 37067,37014,37129,37128","Both Murfreesboro have the same zip","","","","","","","","","","","","","","","","","","","","","",""
"13","3","Buff City Soap - Downtown Naples","0013 - Downtown Naples","","11/17/2019","","1","28","1","","1","","South Florida BCS LLC","Jeff Robinson","304 9th Street N","","Naples","FL","34102","USA","(239) 241-2122","900","","","","In-Line","34102","","","","","","","","","","","","","","","","","","","","","","",""
"14","10","Buff City Soap - Murray","0014 - Murray","","12/8/2018","","1","","","","","","Powell BCS LLC","Chris Powell","630 N. 12th Street","","Murray","KY","42071","USA","(270) 768-7016","2,600","","","","In-Line","42071; 42020; 42036; 42040; 42049; 42054; 42076","","","","","","","","","","","","","","","","","","","","","","",""
"15","5","Buff City Soap - Germantown","0015 - Germantown","","3/2/2019","","1","32","","","1","","Harbor Financial, Inc.","Kevin Hertzke","1730 South Germantown Road","Suite 121","Germantown","TN","38138","USA","(901) 440-8900","1,254","","","","In-Line","38119; 38138; 38139","","","","","","","","","","","","","","","","","","","","","","",""
"16","7","Buff City Soap - Allen","0016 - Allen","","2/9/2019","","1","29","","","1","","Stir & Pour BCS Allen LLC","Paige Irby","820 W Stacy Road","#147","Allen","TX","75013","USA","(972) 832-8064","2,300","","","","In-Line","75013","","","","","","","","","","","","","","","","","","","","","","",""
"17","11","Buff City Soap - Cape Coral","0017 - Cape Coral","","5/4/2019","","1","34","","","","","Get Fresh BCS LLC","Michele Williamson","1715 Cape Coral Parkway West","#27","Cape Coral","FL","33914","USA","(239) 541-3902","1,365","","","","In-Line","33914","","","","","","","","","","","","","","","","","","","","","","",""
"18","12","Buff City Soap - Jonesboro","0018 - Jonesboro","","2/23/2019","","1","","","","1","","Glasspo LLC","Allen Powell","208 S Main Street","","Jonesboro","AR","72401","USA","(870) 275-1550","2,700","","","","End Cap","72467;72401;72404","","","","","","","","","","","","","","","","","","","","","","",""
"19","2","Buff City Soap - Millington","0019 - Millington","","4/27/2019","1","1","20","","","1","","Ozarks Soap, LLC","Charli Gorman","8570 US-51","","Millington","TN","38053","USA","(901) 317-8056","2,352","","","","End Cap/Front-Line Strip","38053, 38054","","","","","","","","","","","","","","","","","","","","","","",""
"20","13","Buff City Soap - Aurora","0020 - Aurora","","8/3/2019","","1","23","1","","1","","Blue Water Soap Company LLC","Amber Piatz","6155 S Main St","Suite E-109","Aurora","CO","80016","USA","(303) 627-5720","1,688","","","","In-Line?","80015; 80016","","","","","","","","","","","","","","","","","","","","","","",""
"21","14","Buff City Soap - Arlington","0021 - Arlington","","6/22/2019","","1","","","","","","4 Boys Business LLC","Scott Davis","5224 Airline Rd","Suite 115","Arlington","TN","38022","USA","(901) 616-6936","1,600","","","","In-Line/ Strip Center","38002","","","","","","","","","","","","","","","","","","","","","","",""
"22","6","Buff City Soap - Collierville","0022 - Collierville","","11/9/2019","","1","31","","","1","","Harbor Financial II, LLC","Kevin Hertzke","3615 Houston Levee Rd","Suite 102","Collierville","TN","38017","USA","(901) 457-7241","1,470","","","","In-Line/ Strip Center","38017; 38125","","","","","","","","","","","","","","","","","","","","","","",""
"23","15","Buff City Soap - Holland","0023 - Holland","","7/13/2019","","1","42","","","","","Budz & Sudz LLC","Nick Kunkel","7103 Orchard Centre Dr","","Holland","OH","43528","USA","(567) 742-7471","3,500","","","","In-Line?","43528; 43537","","","","","","","","","","","","","","","","","","","","","","",""
"24","16","Buff City Soap - Southaven","0024 - Southaven","","11/23/2019","","1","38","","","1","","KSC Holdings, LLC","Bill Scott, Krista Pennie Scott","125 Goodman Road West","Suite E","Southaven","MS","38671","USA","(662) 772-1748","3,000","","","","End Cap/ Strip Center","38637; 38671; 38672","","","","","","","","","","","","","","","","","","","","","","",""
"25","17","Buff City Soap - Dickson","0025 - Dickson","","11/2/2019","","1","27","","","1","","Chickabee Inc.","Candie Hedge","124 South Main St","Suite D","Dickson","TN","37055","USA","(615) 375-1562","2,400","","","","In-Line","37055","","","","","","","","","","","","","","","","","","","","","","",""
"26","2","Buff City Soap - Martin","0026 - Martin","","8/17/2019","","1","16","","","1","","Ozarks Soap, LLC","Charli Gorman","229 S Lindell St","","Martin","TN","38237","USA","(731) 780-3192","2,057","","","","In-Line","38237; 38253; 38257; 38260; 38261","","","","","","","","","","","","","","","","","","","","","","",""
"27","18","Buff City Soap - Maricopa","0027 - Maricopa","","12/14/2019","","1","25","1","","1","","Desert Made, LLC","LaDonda Dees","21101 North John Wayne Parkway","Suite E102","Maricopa","AZ","85139","USA","(520) 415-7900","1,400","","","","In-Line/ Strip Center","85138; 85139","","","","","","","","","","","","","","","","","","","","","","",""
"28","2","Buff City Soap - Columbia","0028 - Columbia","","9/17/2020","1","1","21","1","","1","","Ozarks Soap, LLC","Charli Gorman","112 West 7th Street","","Columbia","TN","38401","USA","931-398-3755","2,883","","","","In-Line","","","","","","","","","","","","","","","","","","","","","","","",""
"29","82-0899921","Buff City Soap - University Village","0029 - University Village","","TBD","","1","11","1","","1","","Buff City Soap Colorado LLC","","5102 N Nevada Ave","","Colorado Springs","CO","80918","USA","(719) 599-8196","1,955","","321396530002","8.25%","In-Line","","","","","","","","","","","","","","","","","","","","","","","",""
"30","82-0899921","Buff City Soap - Dublin","0030 - Dublin","","TBD","","1","10","1","","1","","Buff City Soap Colorado LLC","","5935 Dublin Blvd","#160","Colorado Springs","CO","80923","USA","(719) 597-5336","1,800","","321396530003","8.25%","In-Line","","","","","","","","","","","","","","","","","","","","","","","",""
"31","8","Buff City Soap - Van Alstyne","0031 - Van Alstyne","","10/12/2019","1","1","30","","","1","","Stir & Pour Van Alstyne LLC","Paige Irby","136 N Main Drive","","Van Alstyne","TX","75495","USA","(469) 406-7007","1,400","","","","In-Line","75495","","825373671882","$3,597.89 ","","","","","","","","","","","","","","","","","","","",""
"32","22","Buff City Soap - Peachtree Corners","0032 - Peachtree Corners","","5/2/2020","","1","3","1","","1","","BCS of North Georgia Corp.","Matt Taylor","5215 Town Center Blvd.","Suite 670","Peachtree Corners","GA","30092","USA","","1,927","","","","In-Line","","","","","","","","","","","","","","","","","","","","","","","",""
"33","19","Buff City Soap - Gulf Breeze","0033 - Gulf Breeze","","2/22/2020","","1","33","1","","","","Ocean View BCS Corp.","Jeff and Jennifer Nolan","1462 Tiger Park Lane","","Gulf Breeze","FL","32563","USA","(850) 565-5262","1,909","","","","End Caps","32548; 32561; 32563; 32566; 32569","","","","","","","","","","","","","","","","","","","","","","",""
"34","20","Buff City Soap - Clarksville","0034 - Clarksville","","1/25/2020","","1","","","","","","BCS Clarksville LLC","Brandon Wilson","920 US Hwy 76 Connector","Unit 90","Clarksville","TN","37043","USA","(901) 451-7151","2,000","","","","In-Line/ Strip Center","37043","","","","","","","","","","","","","","","","","","","","","","",""
"35","2","Buff City Soap - Murfreesboro Avenue","0035 - Murfreesboro Avenue","","11/29/2019","","1","19","1","","1","","Ozarks Soap, LLC","Charli Gorman","2615 Medical Center Pkwy","Suite 1500","Murfreesboro","TN","37129","USA","(615)939-6760","2,088","","","","In-Line","37064; 37067; 37014; 37129; 37128","Both Murfreesboro have the same zip","","","","","","","","","","","","","","","","","","","","","",""
"36","21","Buff City Soap - Elizabethtown","0036 - Elizabethtown","","7/8/2020","1","1","6","1","","","","Louisville Soap LLC","Tim Chaffin","1701 N. Dixie Ave.","","Elizabethtown","KY","42701","USA","(270) 304-2110","2,400","","","","Stand Alone","","","","","","","","","","","","","","","","","","","","","","","",""
"37","21","Buff City Soap - Hendersonville","0037 - Hendersonville","","5/8/2020","","1","4","1","","","","Louisville Soap LLC","Tim Chaffin","203 N. Anderson Lane","Suite 105","Hendersonville","TN","37075","USA","(615) 590-8500","2,000","","","","In-Line","","","","","","","","","","","","","","","","","","","","","","","",""
"38","23","Buff City Soap - Roswell","0038 - Roswell","","3/4/2020","","1","24","","","1","","BCS ATL West Inc.","Stacy Sheffield","1145 Woodstock Rd","Suite 605","Roswell","GA","30075","USA","(678) 242-8981","1,598","","","","In-Line","30075","","","","","","","","","","","","","","","","","","","","","","",""
"39","4","Buff City Soap - North Naples","0039 - North Naples","","1/11/2020","","","","","","","","BCS on the Go, Inc.","Jeff Robinson","6270 Naples Blvd","Unit 3","Naples","FL","34109","USA","(239) 431-7233","1,500","","","","CLOSED","34109","","","","","","","","","","","","","","","","","","","","","","",""
"40","24","Buff City Soap - Elizabethtown Commissary","0040 - Elizabethtown Commissa","","7/8/2020","","1","22","1","","","","The Soap Bakerz, LLC","Tim Chaffin","101 Catalog Drive","","Elizabethtown","KY","42701","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","24","Buff City Soap - Turkey Creek","0041 - Turkey Creek","","8/27/2020","1","1","5","1","","1","","The Soap Bakerz, LLC","Brittany Vick","11277 Parkside Drive","","Knoxville","TN","37934","USA","(865) 288-4006","2,050","","","","In-Line","","","","","","","","","","","","","","","","","","","","","","","",""
"42","46-3932133","Buff City Soap - TX Highland Village","0042 - TX Highland Village","","TBD","","","66","","","","","Buff City Soap LLC","","1100 Cottonwood Creek","Suite 150","Highland Village","TX","75077","USA","","3,287","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","46-3932133","Buff City Soap - TX Park Cities","0043 - TX Park Cities","","TBD","","","","","","","","Buff City Soap, LLC","","6632 Snider Plaza","","University Park","TX","75205","USA","","2,879","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","46-3932133","Buff City Soap - TN Poplar Commons","0044 - TN Poplar Commons","","TBD","","","","","","","","Buff City Soap, LLC","","4570 Poplar Ave","Space 3C","Memphis","TN","38117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","21","Buff City Soap - Jeffersonville","0045 - Jeffersonville","","8/20/2020","","1","13","1","","","","Louisville Soap LLC","Tim Chaffin","1009 Jeffersonville Commons Drive","","Jeffersonville","IN","47130","USA","","2,200","","","","End Cap","","","","","","","","","","","","","","","","","","","","","","","",""
"46","83-0515504","Buff City Soap - Crank City","0046 - Crank City","","TBD","","1","","","","","","Buff City Soap LLC","","2120 Hutton Dr","Suite 600","Carrolton","TX","75006","USA","","8,394","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","46-3932133","Buff City Soap - Bartlett Factory","0047 - Bartlett Factory","","TBD","","1","","","","","","Buff City Soap, LLC","","3080 Stage Post Drive","Suite 103","Bartlett","TN","38133","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","21","Buff City Soap - Frankfort, KY","0048 - Frankfort, KY","","10/8/2020","1","1","44","","","","","Louisville Soap LLC","Tim Chaffin","1303 US Highway 127","Suite 108","Frankfort","KY","40601","USA","","3,110","","","","In-Line","","","","","","","","","","","","","","","","","","","","","","","",""
"49","21","Buff City Soap - Nicholasville Rd. Lexington","0049 - Nicholasville Rd. Lexi","","10/29/2020","1","1","","","","","","Louisville Soap LLC","Tim Chaffin","2450 Nicholasville Rd","Suite A","Lexington","KY","40503","USA","","2,000","","","","End Cap","","","","","","","","","","","","","","","","","","","","","","","",""
"50","21","Buff City Soap - Georgetown","0050 - Georgetown","","10/1/2020","1","1","","","","","","Louisville Soap LLC","Tim Chaffin","120 Marketplace","Suite A","Georgetown","KY","40324","USA","","2,500","","","","In-Line","","","","","","","","","","","","","","","","","","","","","","","",""
"51","21","Buff City Soap - Hamburg Lexington","0051 - Hamburg Lexington","","9/24/2020","1","1","26","","","","","Louisville Soap LLC","Tim Chaffin","2337 Sir Barton Way","","Lexington","KY","40509","USA","859-514-1414","2,097","","","","In-Line","","","","","","","","","","","","","","","","","","","","","","","",""
"52","2","Buff City Soap - Conway","0052 - Conway","","10/29/2020","1","1","","","","","","Ozarks Soap, LLC","Charli Gorman","925 Oak Street","","Conway","AR","72032","USA","501-504-6818","3,072","","","","End Cap","","","","","","","","","","","","","","","","","","","","","","","",""
"53","2","Buff City Soap - Searcy","0053 - Searcy","","10/8/2020","1","1","","","","","","Ozarks Soap, LLC","Charli Gorman","3520 E. Race Street","","Searcy","AR","72143","USA","501-278-4600","1,860","","","","In-Line","","","","","","","","","","","","","","","","","","","","","","","",""
"54","2","Buff City Soap - AR The Heights","0054 - AR The Heights","","10/15/2020","1","1","","","","","","Ozarks Soap, LLC","Charli Gorman","5625 Kavanaugh Blvd.","","Little Rock","AR","72207","USA","501-214-9256","1,784","","","","In-Line","","","","","","","","","","","","","","","","","","","","","","","",""
"55","28","Buff City Soap - MS Oxford","0055 - MS Oxford","","10/23/2020","1","1","39","","","1","","Harbor Financial III LLC","Kevin Herzke","400 South Lamar","Suite B","Oxford","MS","38655","USA","","1,710","","","","End Cap","","","","","","","","","","","","","","","","","","","","","","","",""
"56","21","Buff City Soap - KY Nulu","0056 - KY Nulu","","11/19/2020","1","1","36","","","","","Louisville Soap LLC","Tim Chaffin","815 E. Market Street","","Louisville","KY","40206","USA","502-653-5797","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","21","Buff City Soap - KY St. Matthews","0057 - KY St. Matthews","","10/22/2020","1","1","35","","","","","Louisville Soap LLC","Tim Chaffin","4600 Shelbyville Rd","Suite 165","Louisville","KY","40243","USA","502-694-6661","2,562","","","","In-Line","","","","","","","","","","","","","","","","","","","","","","","",""
"58","2","Buff City Soap - Ozarks Soap Commissary","0058 - Ozarks Soap Commissary","","TBD","","1","","","","","","Ozarks Soap, LLC","Charli Gorman","1120 E. Oak Street","Suite 102","Conway","AR","72032","USA","501-504-6818","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","26","Buff City Soap - Shreveport","0059 - Shreveport","","11/2/2020","1","1","","","","1","","Today's Soap","Jeff Lauseng","7021 Youree Dr","","Shreveport","LA","71105","USA","","2,648","","","","End Cap","","","","","","","","","","","","","","","","","","","","","","","",""
"60","24","Buff City Soap - Knoxville Makery","0060 - Knoxville Makery","","TBD","","","","","","","","The Soap Bakerz, LLC","Brittany Vick","4914 Kingston Pike","","Knoxville","TN","37919","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","17","Buff City Soap - MS Jackson","0061 - MS Jackson","","Tentative Devember","1","","","","","","","ChickaBee Inc.","Candie & Kara","455 Interstate 55","Suite 160","Jackson","MS","39211","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","31","Buff City Soap - TX McKinney","0062 - TX McKinney","","11/7/2020","","","43","","","","","BP&W","Paige Irby","3530 W. University","Suite 302","McKinney","TX","75071","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","29","Buff City Soap - IA Johnston","0063 - IA Johnston","","11/18/2020","1","","","","","","","Southfork Soap, LLC","Chris Meyers","10100 NW 62nd Ave","","Johnston","IA","50131","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","29","Buff City Soap - IA Ankeny","0064 - IA Ankeny","","Tentative Early December","1","","","","","","","South Fork Soap, LLC","Chris Meyers","110 N. Ankeny Blvd.","","Ankeny","IA","50023","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","29","Buff City Soap - IA Waukee","0065 - IA Waukee","","Tentative Early December","1","","","","","","","South Fork Soap, LLC","Chris Meyers","956 E. Hickman Rd.","","Waukee","IA","50263","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","30","Buff City Soap - NE Kearney","0066 - NE Kearney","","Week of December 7","1","","","","","","","Midwest Soap Makers, LLC","Curt Bowen","5210 2nd Ave.","","Kearney","NE","68847","USA","","2,400","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","30","Buff City Soap - NE Bellevue","0067 - NE Bellevue","","Week of November 30","1","","","","","","","Midwest Soap Makers, LLC","Curt Bowen","10110 S 15th Street","","Bellevue","NE","68123","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","25","Buff City Soap - TN Hixson","0068 - TN Hixson","","11/16/2020","","","","","","","","Chattanooga Soap Makers LLC","Tim Chaffin","568 Northgate Mall Dr.","Suite 101","Hixson","TN","37415","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","25","Buff City Soap - GA Fort Oglethorpe","0069 - GA Fort Oglethorpe","","11/18/2020","","","","","","","","Chattanooga Soap Makers LLC","Tim Chaffin","91 Parkway Dr.","","Fort Oglethorpe","GA","30742","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","32","Buff City Soap - TX Celina","0070 - TX Celina","","11/21/2020","1","","","","","","","Texas Soap Co., LLC","Natalie Imhoff","308 W Walnut St.","","Celina","TX","75009","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","24","Buff City Soap - TN Kingsport","0071 - TN Kingsport","","11/13/2020","","","","","","","","The Soap Bakerz, LLC","Brittany Vick","1708 East Stone Drive","Suite 140","Kingsport","TN","37660","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","24","Buff City Soap - TN Morristown","0072 - TN Morristown","","Early December","","","","","","","","The Soap Bakerz, LLC","Brittany Vick","4327 West Andrew Johnson Highway","Suite 3","Morristown","TN","37813","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","24","Buff City Soap - TN Powell","0073 - TN Powell","","Early December","","","","","","","","The Soap Bakerz, LLC","Brittany Vick","6631 Clinton Highway","Suite 102","Knoxville","TN","37912","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","24","Buff City Soap - TN Cookeville","0074 - TN Cookeville","","11/19/2020","","","","","","","","The Soap Bakerz, LLC","Brittany Vick","1265 Interstate Dr. Suite","Suite D107","Cookeville","TN","38501","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","33","Buff City Soap - TX Sulphur Springs","0075 - TX Sulphur Springs","","Q1 2021","","","","","","","","BCS Sulphur Springs LLC","Kevin Webber","217 Main St.","","Sulphur Springs","TX","75482","USA","","","","","","In-line","","","","","","","","","","","","","","","","","","","","","","","",""
"76","26","Buff City Soap - LA Commissary","0076 - LA Commissary","","TBD","","","","","","","","Today's Soap","Jeff Lauseng","1408 Alpine Blvd","","Bossier City","LA","71111","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","34","Buff City Soap - TX West Lake","0077 - TX West Lake","","Tentative December","","","","","","","","Greater Austin & Hill Country BCS-IMB Investment LLC","Kent & Beverly Graham","701 S. Capital of Texas Highway","Suite B270","West Lake Hills","TX","78746","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","","Buff City Soap - CO R&D Center","0078 - CO R&D Center","","","","","","","","","","","Brad & Jen Kellum","573 Tolland Drive","","Castle Rock","CO","80108","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","1","Buff City Soap - AL Mountain Brook","0079 - AL Mountain Brook","","11/27/2020","","","","","","","","Ingenuity LLC","Rick Hayes","250 Rele St.","","Mountain Brook","AL","35223","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
